"Window","Previous Editor","⇧⌘F6","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","C/C++ Editor"
"Run/Debug","Go to Address...","⌘G","In Disassembly"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Navigate","Forward History","⌥⌘→","In Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"C/C++ Source","Add Block Comment","⇧⌘/","C/C++ Editor"
"Navigate","Open Call Hierarchy","F4","In C/C++ Views"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Edit","Select Previous Element","⇧⌃←","Editing Java Source"
"File","Properties","⌥↩","In Windows"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Text Editing","Next Word","⌥→","Editing Text"
"Text Editing","Delete Line","⌘D","Editing Text"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Navigate","Open Call Hierarchy","F4","C/C++ Editor"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Source","Organize Imports","⇧⌘O","In Windows"
"Edit","Incremental Find","⌘J","Editing Text"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Refactor - C++","Extract Local Variable - Refactoring ","⌥⌘L","C/C++ Editor"
"Source","Format","⌥⌘F","Editing Java Source"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Edit","Restore Last C/C++ Selection","⇧⌃↓","C/C++ Editor"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"C/C++ Source","Toggle Source/Header","⌘Tab","C/C++ Editor"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"File","New","⌘N","In Windows"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Navigate","Go to Line","⌘L","Editing Text"
"Navigate","Previous","⇧⌘.","In Windows"
"Reverse Debugging Commands","Reverse Resume","⇧F8","Debugging C/C++"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Edit","Find and Replace","⌘F","In Windows"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Search","File Search","⇧⌘F","C/C++ Editor"
"Window","Quick Switch Editor","⌘E","In Windows"
"View","Zoom In","⌘=","In Windows"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Window","Show System Menu","⇧⌘F10","In Windows"
"C/C++ Source","Back","⌥←","In Macro Expansion Hover"
"Search","File Search","⇧⌘F","In C/C++ Views"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Edit","Word Completion","⌃.","Editing Text"
"Project","Build All","⌘B","In Windows"
"Navigate","Open Call Hierarchy","F4","In Windows"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Text Editing","Previous Word","⌥←","Editing Text"
"Window","Quick Access","⌘3","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"C/C++ Source","Comment/Uncomment","⌘/","C/C++ Editor"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Execute","⌘U","In Windows"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Text Editing","Line End","⌘→","Editing Text"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Text Editing","Text End","↘","Editing Text"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Text Editing","Line Start","⌘←","Editing Text"
"File","Properties","⌘I","In Windows"
"File","Refresh","F5","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Navigate","Open Include Browser","⌥⌘I","In C/C++ Views"
"Navigate","Open Type in Hierarchy","⇧⌘H","In C/C++ Views"
"Edit","Copy","⌘C","In Dialogs and Windows"
"C/C++ Source","Go to Next Member","⇧⌘↓","C/C++ Editor"
"Run/Debug","Debug Android Application","⇧⌥A D","In Windows"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Edit","Format","⌥⌘F","Editing in Structured Text Editors"
"C/C++ Source","Add Include","⇧⌘N","C/C++ Editor"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"File","Print","⌘P","In Windows"
"Edit","Select Next Element","⇧⌃→","Editing Java Source"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"C/C++ Source","Toggle Mark Occurrences","⌥⌘O","C/C++ Editor"
"C/C++ Source","Show Source Quick Menu","⌥⌘S","C/C++ Editor"
"Text Editing","Text End","⌘↘","Editing Text"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Search","Declaration in Workspace","⌘G","In Windows"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Window","Next Editor","⌘F6","In Windows"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"C/C++ Source","Surround With Quick Menu","⌥⌘Z","C/C++ Editor"
"Window","Next Perspective","⌘F8","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Search","References in Workspace","⇧⌘G","In Windows"
"Text Editing","Text Start","↖","Editing Text"
